10,1855,1,-0.181885,0.588867,9.898438,0.000000,0.000000,0.000000,-0.154297,96494.515625,25.250000
29,2356,1,-0.045471,0.593750,9.953125,0.000000,0.000000,0.000000,-0.130859,96493.882812,25.250000
42,2860,1,-0.203491,0.504883,10.148438,0.000000,0.000000,0.000000,-0.144531,96494.265625,25.250000
5b,3364,1,-0.122070,0.600586,10.015625,0.000000,0.000000,0.000000,-0.197266,96495.679688,25.250000
74,3868,1,-0.141235,0.674805,10.062500,0.000000,0.000000,0.000000,-0.132812,96493.953125,25.250000
8d,4372,1,-0.375732,0.591309,10.023438,0.000000,0.000000,0.000000,-0.062500,96492.023438,25.250000
a6,4876,1,-0.294434,0.687012,9.804688,0.000000,0.000000,0.000000,-0.113281,96493.406250,25.250000
bf,5377,1,-0.047882,0.521484,9.875000,0.000000,0.000000,0.000000,0.021484,96489.671875,25.250000
d8,5881,1,-0.210571,0.454834,9.859375,0.000000,0.000000,0.000000,-0.119141,96493.546875,25.250000
f1,6385,1,-0.179565,0.547852,9.843750,0.000000,0.000000,0.000000,-0.099609,96493.031250,25.000000
10a,6889,1,-0.308838,0.619629,9.882812,0.000000,0.000000,0.000000,-0.072266,96492.296875,25.500000
123,7393,1,-0.311035,0.493164,10.007812,0.000000,0.000000,0.000000,-0.099609,96493.000000,25.250000
13c,7894,1,-0.169922,0.409180,9.843750,0.000000,0.000000,0.000000,-0.099609,96493.000000,25.250000
155,8398,1,-0.378174,0.421143,10.000000,0.000000,0.000000,0.000000,-0.109375,96493.304688,25.000000
16e,8902,1,-0.380615,0.291992,9.890625,0.000000,0.000000,0.000000,-0.191406,96495.562500,24.000000
187,9406,1,-0.294434,0.371094,10.023438,0.000000,0.000000,0.000000,-0.109375,96493.296875,25.250000
1a0,9910,1,-0.751465,0.567383,10.062500,0.000000,0.000000,0.000000,-0.097656,96492.960938,25.250000
1b9,10414,1,-0.289551,0.445312,9.750000,0.000000,0.000000,0.000000,-0.097656,96492.984375,25.250000
1d2,10915,1,-0.416504,0.457275,9.820312,0.000000,0.000000,0.000000,-0.193359,96495.609375,25.000000
1eb,11419,1,-0.193848,0.390137,9.867188,0.000000,0.000000,0.000000,-0.140625,96494.140625,25.000000
204,11923,1,-0.399658,0.383057,10.015625,0.000000,0.000000,0.000000,-0.078125,96492.437500,25.000000
21d,12427,1,-0.488281,0.550293,9.789062,0.000000,0.000000,0.000000,-0.173828,96495.046875,25.250000
236,12931,1,-0.315918,0.359131,9.937500,0.000000,0.000000,0.000000,-0.228516,96496.539062,25.250000
24f,13589,3,-0.564941,0.644043,9.914062,0.000000,0.000000,0.000000,-0.050781,96491.671875,25.250000
268,14128,3,0.000000,0.454834,9.539062,0.000000,0.000000,0.000000,0.123047,96486.921875,25.250000
281,14667,3,0.009575,0.502441,10.015625,0.000000,0.000000,0.000000,0.380859,96479.789062,25.250000
29a,15206,3,-0.088562,0.454834,9.937500,0.000000,0.000000,0.000000,0.433594,96478.375000,25.250000
2b3,15745,3,-0.112488,0.426025,9.875000,0.000000,0.000000,0.000000,0.578125,96474.406250,25.250000
2cc,16284,3,-0.007179,0.445312,9.984375,0.000000,0.000000,0.000000,0.714844,96470.625000,25.250000
2e5,16823,3,-0.009575,0.517090,9.921875,0.000000,0.000000,0.000000,0.863281,96466.546875,25.250000
2fe,17362,3,0.000000,0.562500,9.867188,0.000000,0.000000,0.000000,0.943359,96464.359375,25.250000
317,17901,3,-0.165161,0.557617,9.812500,0.000000,0.000000,0.000000,0.978516,96463.390625,25.250000
330,18440,3,-0.071777,0.533691,9.890625,0.000000,0.000000,0.000000,1.173828,96458.015625,25.250000
349,18979,3,0.062225,0.536133,9.968750,0.000000,0.000000,0.000000,1.343750,96453.375000,25.500000
362,19518,3,-0.117310,0.629395,9.820312,0.000000,0.000000,0.000000,1.632812,96445.406250,25.500000
37b,20057,3,-0.122070,0.598145,9.851562,0.000000,0.000000,0.000000,1.623047,96445.679688,25.250000
394,20596,3,-0.045471,0.545410,9.750000,0.000000,0.000000,0.000000,1.937500,96437.476562,25.500000
3ad,21135,3,-0.026321,0.600586,9.859375,0.000000,0.000000,0.000000,1.974609,96436.062500,25.250000
3c6,21674,3,0.112488,0.383057,9.968750,0.000000,0.000000,0.000000,2.093750,96432.781250,25.250000
3df,22213,3,-0.064636,0.622070,9.828125,0.000000,0.000000,0.000000,2.191406,96430.062500,25.500000
3f8,22752,3,-0.057434,0.471436,9.906250,0.000000,0.000000,0.000000,2.457031,96422.812500,25.250000
411,23291,3,-0.155518,0.665527,9.914062,0.000000,0.000000,0.000000,2.484375,96422.046875,25.500000
42a,23830,3,-0.112488,0.569336,9.960938,0.000000,0.000000,0.000000,2.724609,96415.429688,25.500000
443,24369,3,-0.184326,0.583984,9.265625,0.000000,0.000000,0.000000,2.970703,96408.687500,25.500000
45c,24908,4,-0.090942,0.600586,9.343750,0.000000,0.000000,0.000000,3.015625,96407.453125,25.500000
475,25418,6,-0.057434,0.636719,9.726562,0.000000,0.000000,0.000000,3.041016,96406.765625,25.500000
48e,25927,6,-0.052643,0.626953,9.750000,0.000000,0.000000,0.000000,3.009766,96407.625000,25.500000
4a7,26436,6,0.047882,0.569336,9.882812,0.000000,0.000000,0.000000,3.119141,96404.617188,25.250000
4c0,26945,6,0.031113,0.533691,10.015625,0.000000,0.000000,0.000000,3.132812,96404.218750,25.250000
4d9,27454,6,-0.179565,0.612793,10.195312,0.000000,0.000000,0.000000,3.089844,96405.406250,25.500000
4f2,27963,6,0.334961,0.619629,9.750000,0.000000,0.000000,0.000000,3.011719,96407.546875,25.500000
50b,28472,6,0.639160,0.610352,9.742188,0.000000,0.000000,0.000000,3.058594,96406.250000,25.500000
524,28981,6,0.105286,0.361328,10.125000,0.000000,0.000000,0.000000,3.107422,96404.906250,25.500000
53d,29490,6,-0.028717,0.591309,9.843750,0.000000,0.000000,0.000000,3.210938,96402.078125,25.500000
556,29999,6,0.327881,0.624512,9.976562,0.000000,0.000000,0.000000,3.082031,96405.640625,25.500000
